Authors,Title,DOI,Publication Date,Is Open Access?,Type of OA,OA Version,Link to OA version
 ,Developmental Exposure to Bisphenol a Degrades Auditory Cortical Processing in Rats.,10.1007/s12264-022-00891-0,6/8/2022,DOI not found by Unpaywall., , , 
 ,Editorial: Shedding Light on the Nervous System: Progress in Neurophotonics Research.,10.3389/fncir.2022.901376,6/7/2022,TRUE,gold,publishedVersion,https://www.frontiersin.org/articles/10.3389/fncir.2022.901376/pdf
 ,Interacting brains revisited: A cross-brain network neuroscience perspective.,10.1002/hbm.25966,6/7/2022,TRUE,gold,publishedVersion,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/hbm.25966
 ,Quantification of SNAP-25 with mass spectrometry and Simoa: a method comparison in Alzheimer's disease.,10.1186/s13195-022-01021-8,6/7/2022,TRUE,gold,publishedVersion,https://alzres.biomedcentral.com/track/pdf/10.1186/s13195-022-01021-8
 ,Population variation in social brain morphology: links to socioeconomic status and health disparity.,10.1080/17470919.2022.2083230,6/7/2022,FALSE,closed,none,none
 ,Neuroimaging signatures predicting motor improvement to focused ultrasound subthalamotomy in Parkinson's disease.,10.1038/s41531-022-00332-9,6/7/2022,TRUE,gold,publishedVersion,https://www.nature.com/articles/s41531-022-00332-9.pdf
 ,Targeted copy number variant identification across the neurodegenerative disease spectrum.,10.1002/mgg3.1986,6/7/2022,FALSE,closed,none,none
 ,Event-based modelling in temporal lobe epilepsy demonstrates progressive atrophy from cross-sectional data.,10.1111/epi.17316,6/4/2022,FALSE,closed,none,none
 ,Time-resolved structure-function coupling in brain networks.,10.1038/s42003-022-03466-x,6/3/2022,TRUE,gold,publishedVersion,https://www.nature.com/articles/s42003-022-03466-x.pdf
 ,Interictal sleep recordings during presurgical evaluation: Bidirectional perspectives on sleep related network functioning.,10.1016/j.neurol.2022.03.011,6/3/2022,FALSE,closed,none,none
 ,RABENOSYN separation-of-function mutations uncouple endosomal recycling from lysosomal degradation[comma] causing a distinct Mendelian Disorder.,10.1093/hmg/ddac120,6/3/2022,FALSE,closed,none,none
 ,Early predictors of language skills at 3 years of age vary based on diagnostic outcome: A baby siblings research consortium study.,10.1002/aur.2760,6/3/2022,FALSE,closed,none,none
 ,Tau PET Imaging in Neurodegenerative Disorders.,10.2967/jnumed.121.263196,6/2/2022,FALSE,closed,none,none
 ,Siponimod vs placebo in active secondary progressive multiple sclerosis: a post hoc analysis from the phase 3 EXPAND study.,10.1007/s00415-022-11166-z,6/1/2022,TRUE,hybrid,publishedVersion,https://link.springer.com/content/pdf/10.1007/s00415-022-11166-z.pdf
 ,A Riemannian approach to predicting brain function from the structural connectome.,10.1016/j.neuroimage.2022.119299,6/1/2022,TRUE,gold,publishedVersion,https://doi.org/10.1016/j.neuroimage.2022.119299
 ,Null models in network neuroscience.,10.1038/s41583-022-00601-9,6/1/2022,FALSE,closed,none,none
 ,Splenial Callosal Disconnection in Right Hemianopic Patients Induces Right Visual-Spatial Neglect.,10.3390/brainsci12050640,5/29/2022,TRUE,gold,publishedVersion,https://www.mdpi.com/2076-3425/12/5/640/pdf?version=1652424560
 ,Automated Detection of Brain Metastases on T1-Weighted MRI Using a Convolutional Neural Network: Impact of Volume Aware Loss and Sampling Strategy.,10.1002/jmri.28274,5/29/2022,FALSE,closed,none,none
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
