neuro_author_s,title,journal,doi,pmid,date_not_actual,is_open_access,oa_type,oa_version,url_to_oa_version
Nathalie Marcal; Timothy E Kennedy,Modulation of DNA methylation and protein expression in the prefrontal cortex by repeated administration of D-lysergic acid diethylamide (LSD): Impact on neurotropic[comma] neurotrophic[comma] and neuroplasticity signaling,Progress in Neuro-Psychopharmacology and Biological Psychiatry,10.1016/j.pnpbp.2022.110594,35777526,2022-12-01,False,closed,none,none
Vladimir S Fonov,Increased brain volumetric measurement precision from multi-site 3D T1-weighted 3 T magnetic resonance imaging by correcting geometric distortions,Magnetic Resonance Imaging,10.1016/j.mri.2022.06.005,35753643,2022-10-01,True,green,submittedVersion,https://doi.org/10.1101/2021.11.29.469919
Joshua Bierbrier; Houssem-Eddine Gueziri; D Louis Collins,Estimating medical image registration error and confidence: A taxonomy and scoping review,Medical Image Analysis,10.1016/j.media.2022.102531,35858506,2022-10-01,False,closed,none,none
Mohamed A Eldeeb; Rhalena A Thomas; Armaan Fallahi; Edward A Fon,Mitochondrial quality control in health and in Parkinson’s disease,Physiological Reviews,10.1152/physrev.00041.2021,35466694,2022-10-01,False,closed,none,none
Yashar Zeighami; Alain Dagher; Alan Evans,Impact of weight loss on brain age: Improved brain health following bariatric surgery,NeuroImage,10.1016/j.neuroimage.2022.119415,35760293,2022-10-01,True,hybrid,publishedVersion,https://doi.org/10.1016/j.neuroimage.2022.119415
Guy Rouleau,Brain health as a global priority[comma] view from WHO: Editorial from the World Federation of Neurology,Journal of the Neurological Sciences,10.1016/j.jns.2022.120337,35908303,2022-09-01,False,closed,none,none
Danilo Bzdok,From YouTube to the brain: Transfer learning can improve brain-imaging predictions with deep learning,Neural Networks,10.1016/j.neunet.2022.06.014,35777174,2022-09-01,True,green,submittedVersion,http://escholarship.mcgill.ca/downloads/f1881s061
Maxime Lévesque; Siyan Wang; Massimo Avoli,Bilateral optogenetic activation of inhibitory cells favors ictogenesis,Neurobiology of Disease,10.1016/j.nbd.2022.105794,35718264,2022-09-01,True,hybrid,publishedVersion,https://doi.org/10.1016/j.nbd.2022.105794
Angela Genge,Clinical studies in amyotrophic lateral sclerosis,Current Opinion in Neurology,10.1097/WCO.0000000000001099,35942672,2022-08-05,False,closed,none,none
Gennaro Pagano; Kirsten I Taylor; Judith Anzures-Cabrera; Maddalena Marchesi; Tanya Simuni; Kenneth Marek; Ronald B Postuma; Nicola Pavese; Fabrizio Stocchi; Jean-Philippe Azulay; Brit Mollenhauer; Lydia López-Manzanares; David S Russell; James T Boyd; Anthony P Nicholas; María R Luquin; Robert A Hauser; Thomas Gasser; Werner Poewe; Benedicte Ricci; Anne Boulay; Annamarie Vogt; Frank G Boess; Juergen Dukart; Giulia D'Urso; Rebecca Finch; Stefano Zanigni; Annabelle Monnet; Nathalie Pross; Andrea Hahn; Hanno Svoboda; Markus Britschgi; Florian Lipsmeier; Ekaterina Volkova-Volkmar; Michael Lindemann; Sebastian Dziadek; Štefan Holiga; Daria Rukina; Thomas Kustermann; Geoffrey A Kerchner; Paulo Fontoura; Daniel Umbricht; Rachelle Doody; Tania Nikolcheva; Azad Bonni,Trial of Prasinezumab in Early-Stage Parkinson’s Disease,New England Journal of Medicine,10.1056/NEJMoa2202867,35921451,2022-08-04,False,closed,none,none
