neuro_author_s,title,journal,doi,pmid,date_not_actual,is_open_access,oa_type,oa_version,url_to_oa_version
Douglas L Arnold,Early treatment responses to peginterferon beta-1a are associated with longer-term clinical outcomes in patients with relapsing-remitting multiple sclerosis: Subgroup analyses of ADVANCE and ATTAIN.,Multiple sclerosis and related disorders,10.1016/j.msard.2021.103367,35158473,2022-02-16,True,hybrid,publishedVersion,http://www.msard-journal.com/article/S2211034821006349/pdf
Ali I Mirza; Feng Zhu; Natalie Knox; Jessica D Forbes; Gary Van Domselaar; Charles N Bernstein; Morag Graham; Ruth Ann Marrie; Janace Hart; E Ann Yeh; Douglas L Arnold; Amit Bar-Or; Julia O'Mahony; Yinshan Zhao; William Hsiao; Brenda Banwell; Emmanuelle Waubant; Helen Tremlett,Metagenomic Analysis of the Pediatric-Onset Multiple Sclerosis Gut Microbiome.,Neurology,10.1212/WNL.0000000000013245,34937787,2021-12-24,False,closed,none,none
Sridar Narayanan; Louis D Collins; Douglas L Arnold; Josefina Maranzano,Diffusely abnormal white matter converts to T2 lesion volume in the absence of MRI-detectable acute inflammation.,Brain : a journal of neurology,10.1093/brain/awab448,34927199,2021-12-21,False,closed,none,none
Douglas L Arnold,Safety and efficacy of teriflunomide in paediatric multiple sclerosis (TERIKIDS): a multicentre[comma] double-blind[comma] phase 3[comma] randomised[comma] placebo-controlled trial.,The Lancet. Neurology,10.1016/S1474-4422(21)00364-1,34800398,2021-11-21,False,closed,none,none
Ahmed M Elkady; Zhe Wu; Ilana R Leppert; Douglas L Arnold; Sridar Narayanan; David A Rudko,Assessing the differential sensitivities of wave-CAIPI ViSTa myelin water fraction and magnetization transfer saturation for efficiently quantifying tissue damage in MS.,Multiple sclerosis and related disorders,10.1016/j.msard.2021.103309,34688179,2021-10-24,False,closed,none,none
Giulia Fadda; Douglas L Arnold,Comparison of Spinal Cord Magnetic Resonance Imaging Features Among Children With Acquired Demyelinating Syndromes.,JAMA network open,10.1001/jamanetworkopen.2021.28871,34643718,2021-10-14,True,gold,publishedVersion,https://jamanetwork.com/journals/jamanetworkopen/articlepdf/2784916/fadda_2021_oi_210845_1633112268.48594.pdf
Douglas L Arnold,Long-term safety and efficacy of dimethyl fumarate for up to 13 years in patients with relapsing-remitting multiple sclerosis: Final ENDORSE study results.,Multiple sclerosis (Houndmills[comma] Basingstoke[comma] England),10.1177/13524585211037909,34465252,2021-09-02,True,hybrid,publishedVersion,https://journals.sagepub.com/doi/pdf/10.1177/13524585211037909
Douglas L Arnold,Safety and efficacy of tolebrutinib[comma] an oral brain-penetrant BTK inhibitor[comma] in relapsing multiple sclerosis: a phase 2b[comma] randomised[comma] double-blind[comma] placebo-controlled trial.,The Lancet. Neurology,10.1016/S1474-4422(21)00237-4,34418400,2021-08-22,False,closed,none,none
Douglas L Arnold,Plasma neurofilament light chain concentrations as a biomarker of clinical and radiologic outcomes in relapsing multiple sclerosis: Post hoc analysis of Phase 3 ozanimod trials.,European journal of neurology,10.1111/ene.15009,34292643,2021-07-23,False,closed,none,none
Hyunwoo Lee; Kunio Nakamura; Sridar Narayanan; Robert A Brown; Douglas L Arnold,Brain volume change after high-dose immunosuppression and autologous hematopoietic cell transplantation for relapsing-remitting multiple sclerosis.,Multiple sclerosis and related disorders,10.1016/j.msard.2021.103149,34284316,2021-07-21,False,closed,none,none
Cynthia M Solek; Nasr A I Farooqi; Niklas Brake; Philip Kesner; Anne Schohl; Jack P Antel; Edward S Ruthazer,Early inflammation dysregulates neuronal circuit formation ,The Journal of neuroscience : the official journal of the Society for Neuroscience,10.1523/JNEUROSCI.2159-20.2021,34103360,2021-06-10,True,bronze,publishedVersion,https://www.jneurosci.org/content/jneuro/41/29/6353.full.pdf
Gary A B Armstrong,Correction to: The Novel Small Molecule TRVA242 Stabilizes Neuromuscular Junction Defects in Multiple Animal Models of Amyotrophic Lateral Sclerosis.,Neurotherapeutics : the journal of the American Society for Experimental NeuroTherapeutics,10.1007/s13311-021-01061-2,34100189,2021-06-09,True,bronze,publishedVersion,https://link.springer.com/content/pdf/10.1007/s13311-021-01061-2.pdf
Bruce A C Cree; Douglas L Arnold; Jeremy Chataway; Tanuja Chitnis; Robert J Fox; Angela Pozo Ramajo; Niamh Murphy; Hans Lassmann,Secondary Progressive Multiple Sclerosis: New Insights.,Neurology,10.1212/WNL.0000000000012323,34088878,2021-06-06,True,hybrid,publishedVersion,https://n.neurology.org/content/neurology/97/8/378.full.pdf
Douglas L Arnold; Sridar Narayanan,Author Correction: Identifying multiple sclerosis subtypes using unsupervised machine learning and MRI data.,Nature communications,10.1038/s41467-021-23538-6,34016975,2021-05-22,True,gold,publishedVersion,https://www.nature.com/articles/s41467-021-23538-6.pdf
Douglas L Arnold,Ozanimod in relapsing multiple sclerosis: Pooled safety results from the clinical development program.,Multiple sclerosis and related disorders,10.1016/j.msard.2021.102844,33892317,2021-04-24,True,hybrid,publishedVersion,http://www.msard-journal.com/article/S2211034821001103/pdf
Manon Blain; Jack P Antel,Barcoded viral tracing of single-cell interactions in central nervous system inflammation.,Science (New York[comma] N.Y.),10.1126/science.abf1230,33888612,2021-04-24,True,green,publishedVersion,https://escholarship.org/content/qt8r38q7n2/qt8r38q7n2.pdf?t=qszjlr
Sridar Narayanan; Douglas L Arnold,Predicting disability progression and cognitive worsening in multiple sclerosis using patterns of grey matter volumes.,Journal of neurology[comma] neurosurgery[comma] and psychiatry,10.1136/jnnp-2020-325610,33879535,2021-04-22,True,hybrid,publishedVersion,https://jnnp.bmj.com/content/jnnp/92/9/995.full.pdf
Douglas L Arnold; Sridar Narayanan,Identifying multiple sclerosis subtypes using unsupervised machine learning and MRI data.,Nature communications,10.1038/s41467-021-22265-2,33824310,2021-04-08,True,gold,publishedVersion,https://www.nature.com/articles/s41467-021-22265-2.pdf
Eva Andermann,Progressive myoclonus epilepsies-Residual unsolved cases have marked genetic heterogeneity including dolichol-dependent protein glycosylation pathway genes.,American journal of human genetics,10.1016/j.ajhg.2021.03.013,33798445,2021-04-03,True,bronze,publishedVersion,http://www.cell.com/article/S0002929721000975/pdf
Douglas L Arnold; Sridar Narayanan,Deep grey matter injury in multiple sclerosis: a NAIMS consensus statement.,Brain : a journal of neurology,10.1093/brain/awab132,33757115,2021-03-24,True,green,publishedVersion,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8370433
Douglas L Arnold,Safety and efficacy of daclizumab beta in patients with relapsing multiple sclerosis in a 5-year open-label study (EXTEND): final results following early termination.,Therapeutic advances in neurological disorders,10.1177/1756286420987941,33737954,2021-03-20,True,gold,publishedVersion,https://journals.sagepub.com/doi/pdf/10.1177/1756286420987941
Qiao-Ling Cui; Luke M Healy; Jack P Antel,Identification of novel myelin repair drugs by modulation of oligodendroglial differentiation competence.,EBioMedicine,10.1016/j.ebiom.2021.103276,33714029,2021-03-14,True,gold,publishedVersion,http://www.thelancet.com/article/S2352396421000694/pdf
Maryam Sharifian-Dorche; Giulia Fadda; Michael Osherov; Alexander William Saveriano; Roberta La Piana; Jack P Antel; Paul Steven Giacomini,COVID-19 and disease-modifying therapies in patients with demyelinating diseases of the central nervous system: A systematic review.,Multiple sclerosis and related disorders,10.1016/j.msard.2021.102800,33578206,2021-02-13,True,green,publishedVersion,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7845520
Mukanthu H Nyirenda; Giulia Fadda; Luke M Healy; Ina Mexhitaj; Laurence Poliquin-Lasnier; Alexander W Saveriano; Ayal Rozenberg; Rui Li; Craig S Moore; Chahrazed Belabani; Trina Johnson; Douglas L Arnold; Amit Bar-Or,Pro-inflammatory adiponectin in pediatric-onset multiple sclerosis.,Multiple sclerosis (Houndmills[comma] Basingstoke[comma] England),10.1177/1352458521989090,33522403,2021-02-02,False,closed,none,none
Douglas L Arnold,Characterisation of MS phenotypes across the age span using a novel data set integrating 34 clinical trials (NO.MS cohort): Age is a key contributor to presentation.,Multiple sclerosis (Houndmills[comma] Basingstoke[comma] England),10.1177/1352458520988637,33507835,2021-01-29,True,green,publishedVersion,https://europepmc.org/articles/pmc8564259?pdf=render
Douglas L Arnold,Effect of Ozanimod on Symbol Digit Modalities Test Performance in Relapsing MS.,Multiple sclerosis and related disorders,10.1016/j.msard.2020.102673,33454584,2021-01-18,True,hybrid,publishedVersion,http://www.msard-journal.com/article/S2211034820307471/pdf
Milton Guilherme Forestieri Fernandes; Julia Xiao Xuan Luo; Qiao-Ling Cui; Florian Pernin; Moein Yaqubi; Jeffery A Hall; Charles P Couturier; Kevin Petrecca; Luke M Healy; Jo Anne Stratton; Timothy E Kennedy; Jack P Antel,Age-related injury responses of human oligodendrocytes to metabolic insults: link to BCL-2 and autophagy pathways.,Communications biology,10.1038/s42003-020-01557-1,33398046,2021-01-06,True,gold,publishedVersion,https://www.nature.com/articles/s42003-020-01557-1.pdf
Eva Andermann,Comparative analysis of the safety and tolerability of eslicarbazepine acetate in older (≥60 years) and younger (18-59 years) adults.,Epilepsy research,10.1016/j.eplepsyres.2020.106478,33338829,2020-12-19,True,hybrid,publishedVersion,https://doi.org/10.1016/j.eplepsyres.2020.106478
Douglas L Arnold,Temporal profile of serum neurofilament light in multiple sclerosis: Implications for patient monitoring.,Multiple sclerosis (Houndmills[comma] Basingstoke[comma] England),10.1177/1352458520972573,33307998,2020-12-15,True,hybrid,publishedVersion,https://journals.sagepub.com/doi/pdf/10.1177/1352458520972573
Diane S Nakamura; Yun Hsuan Lin; Damla Khan; Jean-David M Gothié; Omar de Faria; James A Dixon; Heidi M McBride; Jack P Antel; Timothy E Kennedy,Mitochondrial dynamics and bioenergetics regulated by netrin-1 in oligodendrocytes.,Glia,10.1002/glia.23905,32910475,2020-09-11,False,closed,none,none
Douglas L Arnold,Temporal profile of lymphocyte counts and relationship with infections with fingolimod therapy in paediatric patients with multiple sclerosis: Results from the PARADIG,Multiple sclerosis (Houndmills[comma] Basingstoke[comma] England),10.1177/1352458520936934,32633694,2020-07-08,False,closed,none,none
Mahsa Dadar; Sridar Narayanan; Douglas L Arnold; D Louis Collins; Josefina Maranzano,Conversion of diffusely abnormal white matter to focal lesions is linked to progression in secondary progressive multiple sclerosis.,Multiple sclerosis (Houndmills[comma] Basingstoke[comma] England),10.1177/1352458520912172,32202199,2020-03-24,True,green,submittedVersion,https://www.biorxiv.org/content/biorxiv/early/2019/11/07/832345.full.pdf
